                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76837,                0.37302,                 1.0629,                0.99122,                0.99082,                0.99455,                0.84554,                0.80076,                0.33929,                 1.0311,              0.0004096,              0.0004096,              0.0004096
                      2,                0.80164,                0.41993,                  1.054,                 0.9815,                0.98781,                0.99357,                0.82387,                0.86036,                 0.3863,                 1.0682,             0.00081459,             0.00081459,             0.00081459
                      3,                0.83539,                0.47264,                 1.0744,                0.98482,                0.97842,                0.99325,                0.80427,                0.89233,                0.42434,                 1.1039,              0.0012078,              0.0012078,              0.0012078
                      4,                0.82592,                0.45846,                 1.0721,                0.95318,                0.99064,                0.98892,                0.81566,                0.85019,                0.44569,                 1.0678,               0.001197,               0.001197,               0.001197
                      5,                0.83151,                0.46035,                 1.0652,                0.97676,                0.99257,                0.99279,                0.80107,                0.90433,                0.44458,                 1.0993,               0.001197,               0.001197,               0.001197
                      6,                0.80971,                0.44043,                 1.0534,                0.97472,                0.99042,                0.98976,                0.81462,                0.85587,                0.41442,                 1.0607,              0.0011793,              0.0011793,              0.0011793
                      7,                0.82213,                0.44225,                 1.0631,                0.99253,                0.98499,                0.99344,                0.80424,                 0.8996,                 0.3848,                 1.0917,              0.0011616,              0.0011616,              0.0011616
                      8,                0.80868,                0.43224,                 1.0621,                0.98138,                0.99207,                0.99215,                0.82572,                0.84796,                0.40065,                 1.0509,              0.0011439,              0.0011439,              0.0011439
                      9,                0.80199,                0.43091,                 1.0519,                0.97626,                0.96418,                0.98618,                0.82004,                0.85388,                 0.4602,                 1.0651,              0.0011263,              0.0011263,              0.0011263
                     10,                 0.8104,                0.43843,                 1.0578,                0.86455,                0.83178,                0.90218,                0.69217,                 1.0242,                0.76252,                  1.164,              0.0011086,              0.0011086,              0.0011086
                     11,                0.80216,                0.43209,                 1.0468,                0.96711,                0.97837,                0.98919,                0.80749,                0.87896,                0.40176,                 1.0856,              0.0010909,              0.0010909,              0.0010909
                     12,                0.79393,                0.42307,                 1.0515,                0.98423,                0.98327,                0.99346,                0.81378,                0.86055,                0.38588,                 1.0632,              0.0010732,              0.0010732,              0.0010732
                     13,                0.79224,                0.41462,                  1.055,                0.97914,                0.99085,                0.99015,                0.81545,                0.85021,                0.39668,                 1.0662,              0.0010555,              0.0010555,              0.0010555
                     14,                0.78085,                0.41414,                 1.0458,                0.98071,                0.98859,                0.98832,                0.82615,                 0.8291,                 0.3805,                 1.0489,              0.0010379,              0.0010379,              0.0010379
                     15,                0.78928,                0.41574,                  1.036,                0.98057,                0.99026,                0.99057,                 0.8278,                0.81276,                 0.3824,                 1.0352,              0.0010202,              0.0010202,              0.0010202
                     16,                0.78659,                0.40689,                 1.0461,                0.98635,                 0.9906,                0.99159,                0.83043,                0.85409,                0.36285,                 1.0606,              0.0010025,              0.0010025,              0.0010025
                     17,                0.77602,                0.40006,                 1.0275,                0.98526,                0.98895,                0.99395,                0.84103,                0.81241,                0.36183,                  1.034,             0.00098482,             0.00098482,             0.00098482
                     18,                0.76197,                0.39656,                 1.0267,                0.98331,                0.99264,                0.99427,                0.83182,                0.84443,                0.37454,                 1.0544,             0.00096714,             0.00096714,             0.00096714
                     19,                 0.7635,                0.39329,                 1.0238,                0.98888,                0.99037,                0.99467,                0.83726,                0.82046,                0.34956,                 1.0425,             0.00094946,             0.00094946,             0.00094946
