                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.37019,                0.20309,                0.85043,                0.99894,                0.99969,                  0.995,                0.96294,                 0.3711,                0.19273,                0.81353,             0.00041005,             0.00041005,             0.00041005
                      2,                0.38214,                0.21696,                0.84505,                0.99816,                0.99877,                  0.995,                 0.9379,                0.44611,                0.22032,                0.84355,             0.00081503,             0.00081503,             0.00081503
                      3,                0.42881,                0.24185,                0.86574,                0.99889,                0.99918,                  0.995,                0.93439,                0.48272,                0.23862,                0.85811,              0.0012082,              0.0012082,              0.0012082
                      4,                0.44085,                0.24642,                0.86963,                0.99108,                      1,                0.99481,                0.93966,                0.45817,                0.23647,                0.84336,               0.001197,               0.001197,               0.001197
                      5,                 0.4504,                 0.2519,                0.87657,                0.99858,                      1,                  0.995,                0.94405,                0.44331,                0.22715,                  0.839,               0.001197,               0.001197,               0.001197
                      6,                0.47064,                0.26108,                0.88409,                0.75757,                0.52844,                0.69803,                0.48727,                 1.2526,                 1.4154,                 1.3284,              0.0011793,              0.0011793,              0.0011793
                      7,                0.45282,                0.25183,                 0.8791,                0.99677,                0.99857,                0.99489,                0.88616,                0.66858,                0.28507,                0.96276,              0.0011616,              0.0011616,              0.0011616
                      8,                0.46118,                0.25689,                0.87624,                0.99758,                0.99718,                  0.995,                0.93016,                0.49489,                0.24529,                0.85773,              0.0011439,              0.0011439,              0.0011439
                      9,                0.45092,                0.25857,                0.87693,                0.99645,                0.99897,                0.99499,                0.92822,                 0.4855,                0.24121,                0.85782,              0.0011263,              0.0011263,              0.0011263
                     10,                0.46487,                 0.2561,                0.87612,                0.99212,                0.99921,                0.99469,                0.90833,                0.55773,                0.26442,                0.89411,              0.0011086,              0.0011086,              0.0011086
                     11,                0.46006,                 0.2541,                0.87748,                0.99816,                0.99959,                  0.995,                0.94044,                0.43821,                0.22259,                0.83903,              0.0010909,              0.0010909,              0.0010909
                     12,                0.45582,                0.25707,                0.87513,                0.99432,                0.99957,                0.99488,                0.92323,                0.51476,                0.24887,                0.87363,              0.0010732,              0.0010732,              0.0010732
                     13,                0.46809,                0.26337,                0.88487,                0.99392,                      1,                  0.995,                0.93339,                0.47511,                0.23751,                0.84904,              0.0010555,              0.0010555,              0.0010555
                     14,                0.45629,                0.25483,                0.88012,                0.99873,                0.99937,                  0.995,                0.93835,                0.45944,                0.22995,                0.84756,              0.0010379,              0.0010379,              0.0010379
