                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49167,                0.24552,                0.89318,                0.99882,                0.99918,                  0.995,                0.92665,                0.48771,                0.23193,                0.85941,             0.00041005,             0.00041005,             0.00041005
                      2,                0.52092,                0.27284,                 0.8978,                0.99851,                0.99924,                  0.995,                 0.9011,                0.57388,                0.26639,                0.89651,             0.00081503,             0.00081503,             0.00081503
                      3,                0.57772,                0.30405,                 0.9275,                0.99711,                0.99803,                  0.995,                0.87206,                0.67811,                0.29705,                0.95717,              0.0012082,              0.0012082,              0.0012082
                      4,                0.58065,                0.30381,                0.92764,                0.98901,                0.99853,                0.99461,                 0.8883,                 0.6456,                0.30601,                0.93544,               0.001197,               0.001197,               0.001197
                      5,                0.59453,                0.31683,                0.93756,                0.99252,                0.98649,                0.99439,                0.87341,                0.67955,                0.31374,                0.94746,               0.001197,               0.001197,               0.001197
                      6,                0.59528,                0.31458,                0.93638,                0.99669,                0.99327,                0.99494,                0.87822,                0.67508,                0.31257,                 0.9474,              0.0011793,              0.0011793,              0.0011793
                      7,                0.58443,                0.30987,                0.93521,                0.99401,                0.98858,                0.99482,                0.87135,                0.69911,                0.32297,                0.96098,              0.0011616,              0.0011616,              0.0011616
                      8,                0.60026,                0.31773,                0.93454,                0.98593,                0.98535,                0.99478,                0.84762,                0.76421,                0.33427,                 1.0103,              0.0011439,              0.0011439,              0.0011439
                      9,                0.57858,                0.30291,                0.93145,                0.99201,                0.99775,                  0.995,                0.89328,                0.59826,                0.27898,                0.90731,              0.0011263,              0.0011263,              0.0011263
                     10,                0.58817,                0.31377,                0.93007,                 0.9927,                0.99836,                0.99498,                0.87692,                0.65322,                0.30549,                0.94043,              0.0011086,              0.0011086,              0.0011086
                     11,                0.59198,                0.31185,                0.93547,                0.99692,                0.99875,                0.99493,                0.89952,                0.59865,                0.28062,                0.91361,              0.0010909,              0.0010909,              0.0010909
                     12,                0.58264,                  0.308,                0.92931,                0.99644,                0.99714,                0.99499,                0.87953,                0.64321,                0.29932,                0.92863,              0.0010732,              0.0010732,              0.0010732
                     13,                0.58454,                0.30708,                0.93523,                 0.9971,                0.97614,                0.99164,                0.88538,                0.62512,                0.31339,                0.92251,              0.0010555,              0.0010555,              0.0010555
                     14,                0.57861,                0.30213,                0.93092,                0.99669,                0.99714,                 0.9947,                0.89963,                 0.5688,                0.26671,                0.89104,              0.0010379,              0.0010379,              0.0010379
                     15,                0.56967,                0.30136,                0.92961,                0.99017,                0.98741,                0.99266,                0.87312,                0.67265,                0.32646,                 0.9485,              0.0010202,              0.0010202,              0.0010202
                     16,                0.56434,                0.29717,                0.91638,                0.99414,                0.99753,                0.99499,                0.90577,                0.58884,                0.26788,                0.90322,              0.0010025,              0.0010025,              0.0010025
                     17,                0.57043,                0.29658,                0.92618,                0.99501,                0.99624,                0.99499,                0.89878,                 0.6107,                0.28413,                0.91195,             0.00098482,             0.00098482,             0.00098482
                     18,                0.57228,                0.29707,                0.92653,                0.98725,                0.98069,                0.99417,                0.86209,                0.70849,                0.33485,                0.96925,             0.00096714,             0.00096714,             0.00096714
                     19,                0.55352,                0.29301,                0.91708,                0.99407,                0.99877,                  0.995,                0.89217,                0.58097,                0.27127,                0.89848,             0.00094946,             0.00094946,             0.00094946
                     20,                0.54756,                0.28546,                0.91953,                0.99713,                0.99855,                  0.995,                 0.8978,                0.59341,                0.26898,                0.90797,             0.00093179,             0.00093179,             0.00093179
                     21,                0.55117,                0.28943,                0.91209,                0.99712,                0.99886,                  0.995,                0.90386,                0.54277,                0.25898,                0.88183,             0.00091411,             0.00091411,             0.00091411
                     22,                0.55313,                0.28722,                0.91963,                0.99647,                0.99836,                0.99499,                0.90792,                0.53827,                0.25506,                  0.882,             0.00089643,             0.00089643,             0.00089643
