                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6034,                0.29947,                0.93819,                0.99759,                0.99705,                0.99495,                0.90058,                0.57639,                0.26053,                0.90408,             0.00064893,             0.00064893,             0.00064893
                     37,                0.58523,                0.29378,                 0.9341,                0.99866,                0.99822,                  0.995,                0.90011,                0.58157,                0.26351,                0.90411,             0.00063125,             0.00063125,             0.00063125
                     38,                0.59004,                0.29141,                0.93021,                0.99819,                0.99918,                  0.995,                0.90798,                0.56116,                0.25102,                0.89351,             0.00061357,             0.00061357,             0.00061357
                     39,                0.57095,                0.28904,                0.92728,                0.99675,                0.99755,                  0.995,                0.90705,                0.55953,                0.25831,                0.89225,             0.00059589,             0.00059589,             0.00059589
                     40,                0.56797,                0.28533,                0.92586,                0.99824,                0.99838,                  0.995,                0.90232,                0.56402,                0.25152,                0.89515,             0.00057821,             0.00057821,             0.00057821
                     41,                0.57508,                0.28492,                0.92736,                0.99808,                0.99702,                0.99499,                0.90457,                0.57731,                0.26183,                0.90073,             0.00056054,             0.00056054,             0.00056054
                     42,                0.55765,                0.28037,                0.92176,                0.99809,                0.99848,                  0.995,                 0.8964,                0.58949,                0.25727,                0.90279,             0.00054286,             0.00054286,             0.00054286
                     43,                0.56339,                0.28243,                0.92011,                0.99855,                0.99795,                  0.995,                0.90252,                0.56718,                0.25483,                0.89627,             0.00052518,             0.00052518,             0.00052518
                     44,                0.55133,                 0.2767,                 0.9248,                0.99822,                0.99773,                  0.995,                0.91125,                0.53491,                0.24461,                  0.883,              0.0005075,              0.0005075,              0.0005075
                     45,                0.54934,                0.27675,                0.91792,                0.99757,                0.99826,                  0.995,                0.91239,                0.53439,                0.24937,                0.88059,             0.00048982,             0.00048982,             0.00048982
                     46,                0.54134,                0.27071,                0.91221,                0.99666,                0.99896,                  0.995,                0.91674,                0.53037,                0.24123,                0.87934,             0.00047214,             0.00047214,             0.00047214
                     47,                0.54749,                 0.2727,                 0.9117,                0.99852,                0.99918,                  0.995,                0.91893,                0.52288,                0.24062,                0.87587,             0.00045446,             0.00045446,             0.00045446
                     48,                0.53703,                0.27165,                0.91038,                0.99818,                0.99836,                  0.995,                0.92528,                0.49868,                0.23254,                0.86541,             0.00043679,             0.00043679,             0.00043679
                     49,                0.54215,                0.26778,                0.91248,                0.99878,                0.99788,                  0.995,                0.91776,                0.52419,                0.24087,                0.87734,             0.00041911,             0.00041911,             0.00041911
                     50,                 0.5382,                0.26923,                0.91299,                0.99858,                0.99902,                  0.995,                0.92717,                 0.4886,                0.23166,                0.86199,             0.00040143,             0.00040143,             0.00040143
                     51,                0.52557,                 0.2638,                0.90759,                0.99874,                0.99877,                  0.995,                0.92697,                0.48699,                0.23004,                0.86318,             0.00038375,             0.00038375,             0.00038375
                     52,                0.52135,                0.25965,                0.90787,                0.99848,                 0.9991,                  0.995,                0.92903,                0.48313,                0.22966,                 0.8591,             0.00036607,             0.00036607,             0.00036607
                     53,                 0.5218,                0.26105,                0.90975,                0.99864,                0.99881,                  0.995,                0.92617,                0.48391,                0.23174,                 0.8603,             0.00034839,             0.00034839,             0.00034839
                     54,                0.52733,                0.26102,                0.90533,                 0.9985,                0.99897,                  0.995,                0.93076,                0.47589,                 0.2254,                0.85747,             0.00033071,             0.00033071,             0.00033071
                     55,                0.51797,                0.25725,                0.90751,                0.99854,                0.99918,                  0.995,                0.92696,                0.48798,                0.22867,                0.86044,             0.00031304,             0.00031304,             0.00031304
                     56,                0.50899,                0.25434,                0.90656,                0.99791,                 0.9986,                  0.995,                0.92953,                0.47335,                0.22447,                0.85506,             0.00029536,             0.00029536,             0.00029536
                     57,                0.50918,                0.25273,                0.89805,                0.99932,                0.99914,                  0.995,                0.93958,                0.45373,                0.21898,                0.84952,             0.00027768,             0.00027768,             0.00027768
                     58,                0.49874,                0.24833,                0.89477,                0.99883,                0.99918,                  0.995,                0.93661,                0.45488,                 0.2186,                0.84849,                0.00026,                0.00026,                0.00026
                     59,                0.50199,                0.25038,                0.89348,                 0.9986,                  0.999,                  0.995,                0.94037,                0.44936,                0.21793,                0.84592,             0.00024232,             0.00024232,             0.00024232
                     60,                0.49647,                0.24708,                0.89499,                0.99886,                0.99884,                  0.995,                0.94088,                0.44712,                0.21639,                0.84641,             0.00022464,             0.00022464,             0.00022464
                     61,                0.50452,                 0.2478,                0.89039,                 0.9983,                0.99836,                  0.995,                0.93763,                0.46233,                0.22325,                   0.85,             0.00020696,             0.00020696,             0.00020696
                     62,                0.48699,                0.23535,                0.88883,                0.99815,                 0.9974,                  0.995,                0.93549,                0.45894,                0.22059,                0.84874,             0.00018929,             0.00018929,             0.00018929
                     63,                0.47806,                0.23107,                0.87786,                0.99836,                0.99819,                  0.995,                0.92802,                0.47885,                0.22478,                0.85766,             0.00017161,             0.00017161,             0.00017161
                     64,                 0.4732,                0.22609,                0.87511,                0.99856,                 0.9992,                  0.995,                0.93597,                0.44573,                0.21418,                0.84454,             0.00015393,             0.00015393,             0.00015393
                     65,                0.46742,                0.22379,                0.87931,                0.99876,                0.99918,                  0.995,                0.94182,                0.43867,                0.21275,                0.84131,             0.00013625,             0.00013625,             0.00013625
                     66,                 0.4546,                0.21984,                0.87104,                0.99856,                 0.9986,                  0.995,                 0.9437,                 0.4322,                0.21264,                0.83917,             0.00011857,             0.00011857,             0.00011857
                     67,                0.46064,                0.21954,                0.87575,                0.99863,                0.99895,                  0.995,                0.94412,                0.43059,                0.20918,                0.83751,             0.00010089,             0.00010089,             0.00010089
                     68,                0.45442,                0.21825,                0.87393,                0.99861,                0.99845,                  0.995,                0.94598,                0.41973,                0.20589,                0.83512,             8.3214e-05,             8.3214e-05,             8.3214e-05
                     69,                0.45228,                0.21589,                0.87908,                0.99863,                0.99866,                  0.995,                0.94571,                0.41942,                0.20594,                0.83483,             6.5536e-05,             6.5536e-05,             6.5536e-05
                     70,                0.44799,                0.21577,                0.86748,                0.99865,                 0.9989,                  0.995,                0.94557,                0.41701,                0.20572,                0.83387,             4.7857e-05,             4.7857e-05,             4.7857e-05
