                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78264,                0.38774,                0.99936,                0.97747,                0.99229,                0.99211,                0.84493,                0.81329,                0.34928,                 1.0366,              0.0004085,              0.0004085,              0.0004085
                     37,                 0.7802,                 0.3801,                0.99711,                0.98628,                0.99513,                0.99455,                 0.8528,                0.79661,                0.33611,                 1.0268,             0.00038375,             0.00038375,             0.00038375
                     38,                0.77147,                0.37273,                0.99893,                0.99498,                0.98895,                0.99479,                0.85396,                0.79496,                0.32962,                 1.0264,               0.000359,               0.000359,               0.000359
                     39,                0.76642,                0.36466,                0.99185,                0.98999,                0.99018,                0.99409,                0.85594,                0.79788,                0.33258,                 1.0258,             0.00033425,             0.00033425,             0.00033425
                     40,                 0.7517,                 0.3639,                0.99022,                0.99142,                0.98976,                0.99461,                0.85589,                0.79172,                 0.3328,                 1.0218,              0.0003095,              0.0003095,              0.0003095
                     41,                0.77631,                 0.3566,                 1.0269,                0.99271,                0.99134,                0.99483,                0.85321,                0.79275,                0.32487,                 1.0237,             0.00028475,             0.00028475,             0.00028475
                     42,                0.76986,                0.35158,                 1.0207,                0.99344,                0.98988,                0.99459,                0.86103,                0.78469,                0.32921,                 1.0222,                0.00026,                0.00026,                0.00026
                     43,                0.76588,                0.34567,                 1.0122,                0.99029,                 0.9846,                0.99481,                 0.8567,                 0.7873,                0.33441,                 1.0217,             0.00023525,             0.00023525,             0.00023525
                     44,                0.75926,                0.34842,                 1.0147,                 0.9918,                0.97932,                0.99365,                0.85381,                0.78346,                0.33082,                 1.0176,              0.0002105,              0.0002105,              0.0002105
                     45,                0.74778,                0.33551,                 1.0098,                0.99365,                0.99018,                0.99479,                0.85935,                0.77424,                0.31447,                 1.0121,             0.00018575,             0.00018575,             0.00018575
                     46,                0.74133,                0.33123,                0.99936,                0.98985,                0.99617,                 0.9946,                0.86744,                0.76802,                0.31852,                 1.0123,               0.000161,               0.000161,               0.000161
                     47,                0.73696,                0.32582,                 0.9957,                0.99259,                0.99296,                0.99478,                0.86765,                0.76233,                0.31363,                 1.0067,             0.00013625,             0.00013625,             0.00013625
                     48,                0.73043,                0.31993,                0.99227,                0.99212,                0.99381,                0.99477,                0.86894,                0.76188,                0.30628,                  1.007,              0.0001115,              0.0001115,              0.0001115
                     49,                0.72173,                0.31284,                0.98939,                0.99066,                0.99514,                0.99486,                0.87127,                0.75195,                0.30032,                 1.0011,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.70953,                0.30835,                0.99465,                0.99286,                0.99405,                 0.9949,                0.87068,                0.74275,                0.29768,                0.99755,                6.2e-05,                6.2e-05,                6.2e-05
